plan_id,network_tier,deductible_type,deductible_amount,family_cost,display_string
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010006,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0460003,In-Network,Medical EHB Deductible,0,Individual,
36194FL0460003,In-Network,Drug EHB Deductible,4200,Individual,
16842FL0310014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0310014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010007,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
68398FL0060003,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
36194FL0440003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0440003,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010011,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
49004FL0020009,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0020012,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
49004FL0010009,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010006,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0460003,In-Network,Medical EHB Deductible,0,Individual,
36194FL0460003,In-Network,Drug EHB Deductible,4200,Individual,
16842FL0310014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0310014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010007,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
68398FL0060003,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
36194FL0440003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0440003,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010011,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
49004FL0020009,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0020012,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
49004FL0010009,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
19898FL0340095,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
19898FL0340047,In-Network,Combined Medical and Drug EHB Deductible,8750,Individual,
36194FL0160012,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
16842FL0320014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0320014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0020006,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
19898FL0340046,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
36194FL0450001,In-Network,Medical EHB Deductible,5750,Individual,
36194FL0450001,In-Network,Drug EHB Deductible,200,Individual,
49004FL0020010,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
36194FL0480002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0480002,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010008,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010008,In-Network,Drug EHB Deductible,1500,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010006,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0460003,In-Network,Medical EHB Deductible,0,Individual,
36194FL0460003,In-Network,Drug EHB Deductible,4200,Individual,
16842FL0310014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0310014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010007,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
68398FL0060003,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
36194FL0440003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0440003,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010011,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
49004FL0020009,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0020012,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
49004FL0010009,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
19898FL0340095,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
19898FL0340047,In-Network,Combined Medical and Drug EHB Deductible,8750,Individual,
36194FL0160012,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
16842FL0320014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0320014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0020006,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
19898FL0340046,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
36194FL0450001,In-Network,Medical EHB Deductible,5750,Individual,
36194FL0450001,In-Network,Drug EHB Deductible,200,Individual,
49004FL0020010,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
36194FL0480002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0480002,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010008,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010008,In-Network,Drug EHB Deductible,1500,Individual,
49004FL0020008,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
68398FL0030045,In-Network,Medical EHB Deductible,0,Individual,
68398FL0030045,In-Network,Drug EHB Deductible,4500,Individual,
36194FL0480003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0480003,In-Network,Drug EHB Deductible,200,Individual,
36194FL0160013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
40572FL0070025,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
49004FL0020007,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020007,In-Network,Drug EHB Deductible,1500,Individual,
40572FL0070052,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
40572FL0070060,In-Network,Combined Medical and Drug EHB Deductible,5750,Individual,
36194FL0460001,In-Network,Medical EHB Deductible,5750,Individual,
36194FL0460001,In-Network,Drug EHB Deductible,200,Individual,
40572FL0070061,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010006,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0460003,In-Network,Medical EHB Deductible,0,Individual,
36194FL0460003,In-Network,Drug EHB Deductible,4200,Individual,
16842FL0310014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0310014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010007,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
68398FL0060003,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
36194FL0440003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0440003,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010011,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
49004FL0020009,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0020012,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
49004FL0010009,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
19898FL0340095,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
19898FL0340047,In-Network,Combined Medical and Drug EHB Deductible,8750,Individual,
36194FL0160012,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
16842FL0320014,In-Network,Medical EHB Deductible,0,Individual,
16842FL0320014,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0020006,In-Network,Combined Medical and Drug EHB Deductible,6300,Individual,
19898FL0340046,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
36194FL0450001,In-Network,Medical EHB Deductible,5750,Individual,
36194FL0450001,In-Network,Drug EHB Deductible,200,Individual,
49004FL0020010,In-Network,Combined Medical and Drug EHB Deductible,1450,Individual,
36194FL0480002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0480002,In-Network,Drug EHB Deductible,200,Individual,
49004FL0010008,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010008,In-Network,Drug EHB Deductible,1500,Individual,
49004FL0020008,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
68398FL0030045,In-Network,Medical EHB Deductible,0,Individual,
68398FL0030045,In-Network,Drug EHB Deductible,4500,Individual,
36194FL0480003,In-Network,Medical EHB Deductible,2400,Individual,
36194FL0480003,In-Network,Drug EHB Deductible,200,Individual,
36194FL0160013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
40572FL0070025,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
49004FL0020007,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020007,In-Network,Drug EHB Deductible,1500,Individual,
40572FL0070052,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
40572FL0070060,In-Network,Combined Medical and Drug EHB Deductible,5750,Individual,
36194FL0460001,In-Network,Medical EHB Deductible,5750,Individual,
36194FL0460001,In-Network,Drug EHB Deductible,200,Individual,
40572FL0070061,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
40572FL0070016,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
40572FL0070053,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
36194FL0450002,In-Network,Medical EHB Deductible,1500,Individual,
36194FL0450002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120072,In-Network,Combined Medical and Drug EHB Deductible,4000,Individual,
30252FL0070044,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0310004,In-Network,Combined Medical and Drug EHB Deductible,4000,Individual,
16842FL0320004,In-Network,Combined Medical and Drug EHB Deductible,4000,Individual,
30252FL0070039,In-Network,Combined Medical and Drug EHB Deductible,1650,Individual,
30252FL0140005,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
40572FL0070036,In-Network,Combined Medical and Drug EHB Deductible,500,Individual,
36194FL0450003,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
40572FL0070011,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0010002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
49004FL0020001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
49004FL0020002,In-Network,Combined Medical and Drug EHB Deductible,8450,Individual,
36194FL0440001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0480001,In-Network,Combined Medical and Drug EHB Deductible,8300,Individual,
36194FL0160011,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
40572FL0070050,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040004,In-Network,Combined Medical and Drug EHB Deductible,9200,Individual,
49004FL0010004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0010004,In-Network,Drug EHB Deductible,3800,Individual,
40572FL0070024,In-Network,Combined Medical and Drug EHB Deductible,4700,Individual,
49004FL0020004,In-Network,Medical EHB Deductible,0,Individual,
49004FL0020004,In-Network,Drug EHB Deductible,3800,Individual,
16842FL0120001,In-Network,Combined Medical and Drug EHB Deductible,6150,Individual,
44228FL0040005,In-Network,Combined Medical and Drug EHB Deductible,6000,Individual,
44228FL0040001,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
16842FL0120093,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
44228FL0040008,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
16842FL0120078,In-Network,Combined Medical and Drug EHB Deductible,6650,Individual,
36194FL0160009,In-Network,Medical EHB Deductible,0,Individual,
36194FL0160009,In-Network,Drug EHB Deductible,4200,Individual,
40572FL0070005,In-Network,Medical EHB Deductible,0,Individual,
40572FL0070005,In-Network,Drug EHB Deductible,6500,Individual,
16842FL0120068,In-Network,Combined Medical and Drug EHB Deductible,6500,Individual,
44228FL0040007,In-Network,Combined Medical and Drug EHB Deductible,5500,Individual,
68398FL0030041,In-Network,Combined Medical and Drug EHB Deductible,6350,Individual,
49004FL0010010,In-Network,Combined Medical and Drug EHB Deductible,750,Individual,
49004FL0010013,In-Network,Combined Medical and Drug EHB Deductible,1500,Individual,
68398FL0030042,In-Network,Combined Medical and Drug EHB Deductible,7500,Individual,
36194FL0440002,In-Network,Medical EHB Deductible,4500,Individual,
36194FL0440002,In-Network,Drug EHB Deductible,200,Individual,
16842FL0120091,In-Network,Medical EHB Deductible,0,Individual,
16842FL0120091,In-Network,Drug EHB Deductible,2100,Individual,
49004FL0010006,In-Network,Combined Medical and Drug EHB Deductible,5000,Individual,
36194FL0460003,In-Network,Medical EHB Deductible,0,Individual,
36194FL0460003,In-Network,Drug EHB Deductible,4200,Individual,
16842FL0310014,In-Network,Medical EHB Deductible,0,Individual,
